Dose,Setting,Grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,pH,Liking,Temp,Flavor.intensity,Acidity,Mouthfeel,Tea.floral,Fruit,Citrus,Green.veg,Paper.wood,Burnt,Cereal,Nutty,Dark.chocolate,Caramel,Bitter,Astringent,Roasted,Sour,Thick.viscous,Sweet,Rubber,target_brew_temperature,target_total_dissolved_solids_percent,target_extraction_percent
145.0,6LG,3,2872.8,1.04,20.60491034,5.08,8,3,3,3,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,90,1.0,20
121.1,14SM,3,2916.7,0.96,23.12165153,5.07,6,3,3,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,90,1.0,24
215.3,5SM,5,2819.9,1.27,16.63387366,5.05,7,3,3,4,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,90,1.25,16
176.1,12LG,3,2826.4,1.27,20.38346394,5.08,7,3,3,4,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,90,1.25,20
149.0,4LG,3,2861.9,1.26,24.20130201,5.1,8,4,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,90,1.25,24
252.7,5LG,5,2782.1,1.59,17.50510091,4.98,8,4,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,90,1.5,16
207.6,5LG,3,2800.4,1.5,20.23410405,5.04,7,4,3,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,90,1.5,20
176.1,4LG,3,2829.4,1.47,23.61850085,5.03,7,3,3,3,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,90,1.5,24
176.1,2SM,5,2830.6,0.99,15.91308348,5.04,8,3,3,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,93,1.0,16
140.3,3LG,3,2860.3,1.02,20.79476835,5.07,7,5,4,1,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,93,1.0,20
120.0,4LG,3,2864.8,1.04,24.82826667,5.07,9,3,3,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,93,1.0,24
215.3,5SM,5,2792.9,1.33,17.25293544,5.06,6,3,2,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,93,1.25,16
176.1,1SM,3,2780.3,1.33,20.99829074,5.03,8,3,3,3,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,93,1.25,20
150.0,14SM,3,2820.8,1.22,22.94250667,5.05,7,3,3,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,93,1.25,24
265.0,6LG,5,2727.0,1.57,16.15618868,5.03,9,4,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,93,1.5,16
207.6,4SM,4,2762.3,1.49,19.82575626,5.05,8,3,3,3,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,93,1.5,20
176.1,4LG,3,2769.4,1.43,22.48859739,5.04,9,3,3,3,3,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,93,1.5,24
176.1,1SM,5,2829.1,1.05,16.86856899,5.05,8,3,3,3,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,87,1.0,16
145.0,6LG,3,2837.0,1.03,20.15248276,5.1,4,5,2,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,87,1.0,20
119.0,4LG,3,2884.1,0.96,23.26668908,5.11,6,3,3,4,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,87,1.0,24
215.3,12LG,5,2879.3,1.31,17.51919647,5.05,7,3,3,4,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,87,1.25,16
176.1,12LG,3,2869.2,1.27,20.69212947,5.02,5,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,87,1.25,20
150.0,13SM,4,2901.1,1.24,23.98242667,5.08,5,4,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,87,1.25,24
