dose_grams,setting,grind,brew_mass_grams,total_dissolved_solids_percent,extraction_percent,ph,brew temperature,score,temp,flavor,acidity,body,tea_floral,fruit,citrus,green_veg,paper_wood,burnt,cereal,nutty,dark_chocolate,caramel,bitter,astringent,roasted,sour,thick_viscous,sweet,rubber
207.6,5LG,3,2800.4,1.5,20.234104,5.04,82.6,4,3,0.3,0.3,0.1,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
176.1,4LG,3,2829.4,1.47,23.618502,5.03,81.1,3,4,0.3,0.5,0.3,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
176.1,2SM,5,2830.6,0.99,15.913083,5.04,85.8,6,5,0.1,0.3,0.3,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False
140.3,3LG,3,2860.3,1.02,20.79477,5.07,86.0,4,5,0.0,0.1,0.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
120.0,4LG,3,2864.8,1.04,24.828266,5.07,83.3,4,4,0.0,0.3,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
215.3,5SM,5,2792.9,1.33,17.252935,5.06,81.8,6,4,0.1,0.4,0.1,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
176.1,1SM,3,2780.3,1.33,20.998291,5.03,84.6,8,3,0.3,0.3,0.3,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False
150.0,14SM,3,2820.8,1.22,22.942507,5.05,84.7,4,5,0.3,0.3,0.3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
265.0,6LG,5,2727.0,1.57,16.156189,5.03,84.2,4,5,0.3,0.3,0.1,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True
207.6,4SM,4,2762.3,1.49,19.825756,5.05,81.9,7,4,0.3,0.3,0.1,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False
